name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
RPS3A,0.0212781394022035,0.638959801520061,0.884740794129134,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SNORD73A,0.000282154303886081,0.869633057646304,0.968597354315864,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SH3D19,0.0648021628512696,0.0431708227162994,0.282162239975813,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FAM160A1,0.047387351896384,0.174909001854625,0.54579079566356,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GATB,0.00882734827664205,0.916363075513935,0.978746386119177,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LINC02273,-0.0202261970954705,0.846295921216679,0.962360740761415,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FBXW7,0.0286856856686544,0.168518539401516,0.537012091381876,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MIR4453HG,0.00827196827884136,0.611429272609274,0.876091107089906,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MIR4453,0.0195766816059379,0.451237269901254,0.788910959921602,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ARFIP1,0.020853810461283,0.377993000887515,0.744227211828145,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TIGD4,-0.0529175205479809,0.411715573385143,0.765642674748582,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FHDC1,-0.0296689592313283,0.733162171317999,0.924104760785114,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TRIM2,0.02733194523747,0.207889775523617,0.590763783812496,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TMEM131L,-0.00061456686055809,0.883553495978053,0.971674142183261,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
DCHS2,-0.0737007289862042,0.00179120501557896,0.044148079397228,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PDGFC,0.013893812987289,0.825875616493871,0.953870202977663,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GRIA2,0.103117984471327,0.00440636873787244,0.0767919124506913,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
C4orf46,-0.00168187132352706,0.892774363237582,0.97400650582324,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FNIP2,-0.0011946647622888,0.90342796883092,0.976018511256476,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
RAPGEF2,-0.0317055950952594,0.228153980362885,0.61167286960559,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FSTL5,0.0186500491702462,0.631397188992386,0.882634902708116,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
