"","hgnc_symbol","gene_biotype"
"674","SLC10A2","protein_coding"
"675","IL17D","protein_coding"
"676","PRKX","protein_coding"
"677","GGACT","protein_coding"
"678","ATP11A","protein_coding"
"679","FNBP4","protein_coding"
"680","VCX2","protein_coding"
"681","NDUFV3","protein_coding"
"682","GABPA","protein_coding"
"683","MTCH2","protein_coding"
"684","LSM14B","protein_coding"
"685","TBC1D22A","protein_coding"
"686","CYSLTR2","protein_coding"
"687","CLIC6","protein_coding"
"688","AMELX","protein_coding"
"689","PHACTR3","protein_coding"
"690","OXGR1","protein_coding"
"691","TPTE","protein_coding"
"692","COMMD6","protein_coding"
"693","SHROOM2","protein_coding"
"694","THSD1","protein_coding"
"695","ANOS1","protein_coding"
"696","VPS36","protein_coding"
"697","DHRS4","protein_coding"
"698","CKAP2","protein_coding"
"699","TCEA2","protein_coding"
"700","SYNJ1","protein_coding"
"701","FAM9B","protein_coding"
"702","DUSP29","protein_coding"
"703","HCCS","protein_coding"
"704","SUGT1","protein_coding"
"705","RPL3","protein_coding"
"706","NLGN4X","protein_coding"
"707","HNRNPA1L2","protein_coding"
"708","DAOA","protein_coding"
"709","CTTN","protein_coding"
"710","GATA5","protein_coding"
"711","ZIC2","protein_coding"
"712","RBL1","protein_coding"
"713","FAM9A","protein_coding"
"714","ZIC5","protein_coding"
"715","LTN1","protein_coding"
"716","LNX2","protein_coding"
"717","RBM11","protein_coding"
"718","RWDD2B","protein_coding"
"719","SRPX","protein_coding"
"720","GSX1","protein_coding"
"721","USP16","protein_coding"
"722","PDX1","protein_coding"
"723","HSPA13","protein_coding"
"724","CCT8","protein_coding"
"725","POLR1D","protein_coding"
"726","PSMG1","protein_coding"
"727","MAP3K7CL","protein_coding"
"728","GRPR","protein_coding"
"729","BEND2","protein_coding"
"730","EDN3","protein_coding"
"731","LIG4","protein_coding"
"732","TMEM47","protein_coding"
"733","PPFIA1","protein_coding"
"734","KLHL34","protein_coding"
"735","SMPX","protein_coding"
"736","GTSE1","protein_coding"
"737","CLYBL","protein_coding"
"738","BRWD1","protein_coding"
"739","ITGBL1","protein_coding"
"740","NUBPL","protein_coding"
